1    3.711695e-04
2    3.719903e-04
3    3.696911e-04
4    3.741102e-04
5    3.703430e-04
6    3.764811e-04
7    3.702425e-04
8    3.782296e-04
9    3.709964e-04
10   3.821382e-04
11   3.782730e-04
12   3.822597e-04
13   3.808015e-04
14   3.878497e-04
15   3.882286e-04
16   3.973508e-04
17   3.945773e-04
18   4.057815e-04
19   4.060761e-04
20   4.161835e-04
21   4.138713e-04
22   4.247944e-04
23   4.248592e-04
24   4.314646e-04
25   4.315470e-04
26   4.391513e-04
27   4.405521e-04
28   4.469892e-04
29   4.437707e-04
30   4.480332e-04
31   4.421043e-04
32   4.459879e-04
33   4.383638e-04
34   4.415186e-04
35   4.336600e-04
36   4.383613e-04
37   4.307057e-04
38   4.314409e-04
39   4.284869e-04
40   4.314516e-04
41   4.275736e-04
42   4.299178e-04
43   4.252301e-04
44   4.322428e-04
45   4.266545e-04
46   4.341379e-04
47   4.293453e-04
48   4.360378e-04
49   4.308011e-04
50   4.394313e-04
51   4.346125e-04
