1 	 3.761759e-04 
2 	 3.771177e-04 
3 	 3.780934e-04 
4 	 3.791142e-04 
5 	 3.801984e-04 
6 	 3.813620e-04 
7 	 3.826186e-04 
8 	 3.839831e-04 
9 	 3.854617e-04 
10 	 3.870477e-04 
11 	 3.887407e-04 
12 	 3.905529e-04 
13 	 3.924872e-04 
14 	 3.945395e-04 
15 	 3.967186e-04 
16 	 3.990391e-04 
17 	 4.015080e-04 
18 	 4.041215e-04 
19 	 4.068573e-04 
20 	 4.096644e-04 
21 	 4.124836e-04 
22 	 4.152837e-04 
23 	 4.180575e-04 
24 	 4.207975e-04 
25 	 4.234953e-04 
26 	 4.261528e-04 
27 	 4.287744e-04 
28 	 4.313141e-04 
29 	 4.335962e-04 
30 	 4.353405e-04 
31 	 4.363318e-04 
32 	 4.365603e-04 
33 	 4.362404e-04 
34 	 4.357369e-04 
35 	 4.353528e-04 
36 	 4.352004e-04 
37 	 4.352730e-04 
38 	 4.355259e-04 
39 	 4.359082e-04 
40 	 4.363769e-04 
41 	 4.369012e-04 
42 	 4.374590e-04 
43 	 4.380262e-04 
44 	 4.385613e-04 
45 	 4.389891e-04 
46 	 4.391963e-04 
47 	 4.390728e-04 
48 	 4.386214e-04 
49 	 4.379911e-04 
50 	 4.373567e-04 
51 	 4.368048e-04 
